row_id,이상점수,이벤트 유형,PR 액션,이슈 액션,리뷰 상태,간단 액션,액터 버킷,레포 버킷,조직 버킷,요일(숫자),요일,주말여부(숫자),주말여부,시간(시),시간대,band,suggested_label,label
2221079,9330.4873046875,PushEvent,<EMPTY>,<EMPTY>,<EMPTY>,<EMPTY>,82.0,640.0,82.0,1.0,화,0.0,평일,17.0,오후(12-17),HIGH,1.0,1
4098905,3568.994873046875,PushEvent,<EMPTY>,<EMPTY>,<EMPTY>,<EMPTY>,710.0,2676.0,710.0,1.0,화,0.0,평일,7.0,오전(6-11),HIGH,1.0,1
1058281,976.7498779296875,PushEvent,<EMPTY>,<EMPTY>,<EMPTY>,<EMPTY>,248.0,5.0,110.0,1.0,화,0.0,평일,14.0,오후(12-17),HIGH,1.0,1
2274569,710.67041015625,PushEvent,<EMPTY>,<EMPTY>,<EMPTY>,<EMPTY>,660.0,4025.0,660.0,1.0,화,0.0,평일,11.0,오전(6-11),HIGH,1.0,1
2297434,699.5897827148438,PushEvent,<EMPTY>,<EMPTY>,<EMPTY>,<EMPTY>,660.0,4025.0,660.0,1.0,화,0.0,평일,11.0,오전(6-11),HIGH,1.0,1
2316556,673.822998046875,PushEvent,<EMPTY>,<EMPTY>,<EMPTY>,<EMPTY>,660.0,4025.0,660.0,1.0,화,0.0,평일,11.0,오전(6-11),HIGH,1.0,1
6592007,670.0625,PullRequestEvent,closed,<EMPTY>,<EMPTY>,<EMPTY>,270.0,2219.0,270.0,2.0,수,0.0,평일,4.0,새벽(0-5),HIGH,1.0,1
7541564,604.250732421875,PullRequestEvent,closed,<EMPTY>,<EMPTY>,<EMPTY>,596.0,2097.0,596.0,1.0,화,0.0,평일,0.0,새벽(0-5),HIGH,1.0,1
7541161,601.6175537109375,PullRequestEvent,opened,<EMPTY>,<EMPTY>,<EMPTY>,596.0,2097.0,596.0,1.0,화,0.0,평일,0.0,새벽(0-5),HIGH,1.0,1
197955,545.4016723632812,PullRequestEvent,closed,<EMPTY>,<EMPTY>,<EMPTY>,2.0,3178.0,2.0,1.0,화,0.0,평일,12.0,오후(12-17),HIGH,1.0,1
3981536,541.373046875,PullRequestEvent,opened,<EMPTY>,<EMPTY>,<EMPTY>,401.0,822.0,983.0,0.0,월,0.0,평일,21.0,야간(18-23),HIGH,1.0,1
1393226,538.7261352539062,PullRequestEvent,opened,<EMPTY>,<EMPTY>,<EMPTY>,401.0,822.0,983.0,0.0,월,0.0,평일,20.0,야간(18-23),HIGH,1.0,1
1862388,537.6763305664062,PullRequestEvent,closed,<EMPTY>,<EMPTY>,<EMPTY>,983.0,822.0,983.0,0.0,월,0.0,평일,19.0,야간(18-23),HIGH,1.0,1
1860982,537.5270385742188,PullRequestEvent,closed,<EMPTY>,<EMPTY>,<EMPTY>,983.0,822.0,983.0,0.0,월,0.0,평일,19.0,야간(18-23),HIGH,1.0,1
1861933,537.1060791015625,PullRequestEvent,closed,<EMPTY>,<EMPTY>,<EMPTY>,983.0,822.0,983.0,0.0,월,0.0,평일,19.0,야간(18-23),HIGH,1.0,1
1861715,536.9873046875,PullRequestEvent,closed,<EMPTY>,<EMPTY>,<EMPTY>,983.0,822.0,983.0,0.0,월,0.0,평일,19.0,야간(18-23),HIGH,1.0,1
1861145,536.8524780273438,PullRequestEvent,closed,<EMPTY>,<EMPTY>,<EMPTY>,983.0,822.0,983.0,0.0,월,0.0,평일,19.0,야간(18-23),HIGH,1.0,1
1567491,472.18450927734375,PushEvent,<EMPTY>,<EMPTY>,<EMPTY>,<EMPTY>,344.0,2723.0,344.0,1.0,화,0.0,평일,16.0,오후(12-17),HIGH,1.0,1
6435325,459.2293395996094,PushEvent,<EMPTY>,<EMPTY>,<EMPTY>,<EMPTY>,305.0,3739.0,305.0,2.0,수,0.0,평일,5.0,새벽(0-5),HIGH,1.0,1
58633,414.3068542480469,PushEvent,<EMPTY>,<EMPTY>,<EMPTY>,<EMPTY>,921.0,1277.0,921.0,1.0,화,0.0,평일,13.0,오후(12-17),HIGH,1.0,1
2664126,409.44580078125,PullRequestEvent,opened,<EMPTY>,<EMPTY>,<EMPTY>,698.0,2807.0,698.0,2.0,수,0.0,평일,8.0,오전(6-11),HIGH,1.0,1
2664475,402.54541015625,PullRequestEvent,closed,<EMPTY>,<EMPTY>,<EMPTY>,698.0,2807.0,698.0,2.0,수,0.0,평일,8.0,오전(6-11),HIGH,1.0,1
2593850,372.1318359375,PullRequestEvent,closed,<EMPTY>,<EMPTY>,<EMPTY>,142.0,1490.0,142.0,2.0,수,0.0,평일,8.0,오전(6-11),HIGH,1.0,1
1960859,369.19610595703125,PullRequestEvent,closed,<EMPTY>,<EMPTY>,<EMPTY>,1013.0,1401.0,1013.0,0.0,월,0.0,평일,19.0,야간(18-23),HIGH,1.0,1
2612324,331.66571044921875,PullRequestEvent,closed,<EMPTY>,<EMPTY>,<EMPTY>,661.0,2625.0,661.0,2.0,수,0.0,평일,8.0,오전(6-11),HIGH,1.0,1
5857156,328.2103271484375,PullRequestEvent,closed,<EMPTY>,<EMPTY>,<EMPTY>,661.0,2625.0,661.0,1.0,화,0.0,평일,5.0,새벽(0-5),HIGH,1.0,1
6920521,328.0666198730469,PullRequestEvent,opened,<EMPTY>,<EMPTY>,<EMPTY>,661.0,2625.0,661.0,2.0,수,0.0,평일,3.0,새벽(0-5),HIGH,1.0,1
7178434,324.9805603027344,PullRequestEvent,opened,<EMPTY>,<EMPTY>,<EMPTY>,661.0,2625.0,661.0,1.0,화,0.0,평일,3.0,새벽(0-5),HIGH,1.0,1
248790,289.9578552246094,PullRequestEvent,opened,<EMPTY>,<EMPTY>,<EMPTY>,69.0,3459.0,69.0,1.0,화,0.0,평일,12.0,오후(12-17),HIGH,1.0,1
3876978,283.4842224121094,PullRequestEvent,opened,<EMPTY>,<EMPTY>,<EMPTY>,827.0,650.0,139.0,2.0,수,0.0,평일,19.0,야간(18-23),HIGH,1.0,1
3345305,278.14971923828125,PullRequestEvent,closed,<EMPTY>,<EMPTY>,<EMPTY>,397.0,3075.0,397.0,1.0,화,0.0,평일,18.0,야간(18-23),HIGH,1.0,1
6982571,262.2644348144531,PullRequestEvent,closed,<EMPTY>,<EMPTY>,<EMPTY>,734.0,3970.0,734.0,2.0,수,0.0,평일,23.0,야간(18-23),HIGH,1.0,1
6980034,259.4453125,PullRequestEvent,opened,<EMPTY>,<EMPTY>,<EMPTY>,734.0,3970.0,734.0,2.0,수,0.0,평일,23.0,야간(18-23),HIGH,1.0,1
4173744,237.995361328125,PullRequestEvent,closed,<EMPTY>,<EMPTY>,<EMPTY>,120.0,1791.0,120.0,1.0,화,0.0,평일,7.0,오전(6-11),HIGH,1.0,1
